nan,kierunek,date,dzień tygodnia,start_time,liczba godzin lekcyjnych,class,title,instructor,subject,method,room,uwagi
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,14 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,15 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,16 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,14 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,15 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,16 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,8,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,8,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,9,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,9,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,10,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,10,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,6 a,mgr,DRÓŻDZYŃSKA Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,7 a,mgr,DRÓŻDZYŃSKA Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,5 a,mgr,DRÓŻDZYŃSKA Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,6 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,7 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,5 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,6 c,mgr,KILJAŃCZYK Ewa,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,7 c,mgr,KILJAŃCZYK Ewa,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,5 c,mgr,KILJAŃCZYK Ewa,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,9 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,10 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,8 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,9 b,mgr,GRZESIK Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,10 b,mgr,GRZESIK Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,8 b,mgr,GRZESIK Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-11-08,sobota,8.00-11.45,5,9 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-11-08,sobota,12.00-15.45,5,10 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-11-08,sobota,16.00-19.45,5,8 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
